name,category,special_price,usual_price,stock_qty,image_url,description
Sourdough Loaf,Bakery,8.75,10.78,175,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTUhWHvXmE3sf2GWf1ULILATxWCKkuqSD9Mf2nxSUTpA&s=10,Sourdough Loaf from Bakery.
Multigrain Rolls,Bakery,6.6,7.79,160,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0b-ogbLUmVPenDe4f9KXPP26LA-5qG5UXl9_9yUAIeA&s=10,Multigrain Rolls from Bakery.
Chocolate Muffin,Bakery,12.45,15.79,145,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2Vczo_RfWQGrypOrPxA3Q7-3_7xlxWeLvsxoqDkv2Eg&s=10,Chocolate Muffin from Bakery.
Bagel Sesame,Bakery,8.3,9.79,130,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtctPevwl3lFbAp7di1k1hof_-wsSZhIcAQT1WSkEXvTp3jAv3Y-CFE3A&s=10,Bagel Sesame from Bakery.
Body Wash,Beauty & Personal Care,9.8,11.56,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13268311_XL1_20250423.jpg?w=320&q=60,Body Wash from Beauty & Personal Care.
Facial Cleanser,Beauty & Personal Care,15.65,18.57,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13283078_XL1_20260130.jpg?w=320&q=60,Facial Cleanser from Beauty & Personal Care.
Shampoo Repair,Beauty & Personal Care,21.5,23.57,190,https://media.nedigital.sg/fairprice/90111797_XL1_20260714155352_02983124369b3c204cfbf23ef044bfd4.jpg?w=320&q=60,Shampoo Repair from Beauty & Personal Care.
Conditioner Smooth,Beauty & Personal Care,12.35,14.57,175,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13152156_XL1_20250325.jpg?w=320&q=60,Conditioner Smooth from Beauty & Personal Care.
Deodorant Roll-On,Beauty & Personal Care,6.2,7.58,160,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13238137_XL1_20230911.jpg?w=320&q=60,Deodorant Roll-On from Beauty & Personal Care.
Hand Cream,Beauty & Personal Care,14.05,16.58,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13117787_XL1_20251114.jpg?w=320&q=60,Hand Cream from Beauty & Personal Care.
Toothpaste Fresh Mint,Beauty & Personal Care,3.9,4.58,130,https://media.nedigital.sg/fairprice/90078372_XL1_20260717162933_e8b1c832af826c815c695d0cd539941b.jpg?w=320&q=60,Toothpaste Fresh Mint from Beauty & Personal Care.
Fresh Milk 2L,"Dairy, Chilled & Eggs",6.7,7.45,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10238055_XL1_20260601.jpg?w=320&q=60,"Fresh Milk 2L from Dairy, Chilled & Eggs."
Greek Yogurt,"Dairy, Chilled & Eggs",5.45,6.43,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13289952_XL1_20260602.jpg?w=320&q=60,"Greek Yogurt from Dairy, Chilled & Eggs."
Cheddar Cheese Slices,"Dairy, Chilled & Eggs",6.3,7.43,190,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13054787_XL1_20220815.jpg?w=320&q=60,"Cheddar Cheese Slices from Dairy, Chilled & Eggs."
Eggs 10 Pack,"Dairy, Chilled & Eggs",7.15,8.44,175,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13225153_XL1_20250911.jpg?w=320&q=60,"Eggs 10 Pack from Dairy, Chilled & Eggs."
Salted Butter,"Dairy, Chilled & Eggs",5.0,6.44,160,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11978979_XL1_20260305.jpg?w=320&q=60,"Salted Butter from Dairy, Chilled & Eggs."
Low Fat Milk,"Dairy, Chilled & Eggs",6.7,7.45,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10549750_XL1_20260601.jpg?w=320&q=60,"Low Fat Milk from Dairy, Chilled & Eggs."
Chocolate Milk,"Dairy, Chilled & Eggs",6.7,7.45,130,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12287803_XL1_20260601.jpg?w=320&q=60,"Chocolate Milk from Dairy, Chilled & Eggs."
Orange Juice,Drinks,8.9,9.6,220,https://media.nedigital.sg/fairprice/90124418_XL1_20260717085248_4adca6701f5a60dde561bbcb80040e5f.jpg?w=320&q=60,Orange Juice from Drinks.
Green Tea Bottle,Drinks,4.75,5.6,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13146035_XL1_20250911.jpg?w=320&q=60,Green Tea Bottle from Drinks.
Sparkling Water,Drinks,9.6,9.6,190,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12139712_XL1_20210611.jpg?w=320&q=60,Sparkling Water from Drinks.
Iced Lemon Tea,Drinks,2.45,2.61,175,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13281404_XL1_20260407.jpg?w=320&q=60,Iced Lemon Tea from Drinks.
Soy Milk,Drinks,7.3,8.61,160,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12226437_XL1_20230210.jpg?w=320&q=60,Soy Milk from Drinks.
Apple Juice,Drinks,5.15,6.62,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11114337_XL1_20250327.jpg?w=320&q=60,Apple Juice from Drinks.
Mineral Water 6 Pack,Drinks,9.0,10.62,130,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12712891_XL1_20230830.jpg?w=320&q=60,Mineral Water 6 Pack from Drinks.
Red Wine 750ml,"Beer, Wine & Spirits",74.0,86.52,220,https://media.nedigital.sg/fairprice/90166848_XL1_20260707000533_e7d2c051414e496be33f6996f66a8905.jpg?w=320&q=60,"Red Wine 750ml from Beer, Wine & Spirits."
White Wine 750ml,"Beer, Wine & Spirits",44.85,67.52,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13244007_XL1_20240703.jpg?w=320&q=60,"White Wine 750ml from Beer, Wine & Spirits."
Craft Beer 6 Pack,"Beer, Wine & Spirits",25.7,28.53,190,https://media.nedigital.sg/fairprice/90173142_XL1_20260716160630_161c975b520533902462f78e262d6896.jpg?w=320&q=60,"Craft Beer 6 Pack from Beer, Wine & Spirits."
Lager Can 4 Pack,"Beer, Wine & Spirits",23.55,25.53,175,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTD7AHgO-VasM3c50A9IQyZ7OWQ1HxPji1nKt0j8COA3Q&s=10,"Lager Can 4 Pack from Beer, Wine & Spirits."
Whisky 700ml,"Beer, Wine & Spirits",77.4,90.53,160,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/63298_XL1_20260608.jpg?w=320&q=60,"Whisky 700ml from Beer, Wine & Spirits."
Gin 700ml,"Beer, Wine & Spirits",38.25,51.54,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13263851_XL1_20250602.jpg?w=320&q=60,"Gin 700ml from Beer, Wine & Spirits."
Vodka 700ml,"Beer, Wine & Spirits",29.1,32.54,130,https://media.nedigital.sg/fairprice/90120270_XL1_20260629093927_068ddf6627ab87aace327b47c6353c4b.jpg?w=320&q=60,"Vodka 700ml from Beer, Wine & Spirits."
Canned Tuna,Food Cupboard,4.2,4.96,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13057896_XL1_20260601.jpg?w=320&q=60,Canned Tuna from Food Cupboard.
Tomato Pasta Sauce,Food Cupboard,6.05,6.96,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13026535_XL1_20260401.jpg?w=320&q=60,Tomato Pasta Sauce from Food Cupboard.
Baked Beans,Food Cupboard,3.9,4.96,190,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13132393_XL1_20230914.jpg?w=320&q=60,Baked Beans from Food Cupboard.
Olive Oil,Food Cupboard,26.75,27.96,175,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10173079_XL1_20260619.jpg?w=320&q=60,Olive Oil from Food Cupboard.
Chicken Stock Cubes,Food Cupboard,3.6,3.97,160,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13142288_XL1_20260401.jpg?w=320&q=60,Chicken Stock Cubes from Food Cupboard.
Peanut Butter,Food Cupboard,8.45,9.97,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/47416_XL1_20260327.jpg?w=320&q=60,Peanut Butter from Food Cupboard.
Black Pepper Grinder,Food Cupboard,9.3,10.97,130,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13019240_XL1_20250205.jpg?w=320&q=60,Black Pepper Grinder from Food Cupboard.
Frozen Dumplings,Frozen,8.9,10.14,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13055241_XL1.jpg?w=320&q=60,Frozen Dumplings from Frozen.
Frozen Pizza,Frozen,12.75,13.14,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13033307_XL1_20250731.jpg?w=320&q=60,Frozen Pizza from Frozen.
Mixed Vegetables,Frozen,5.6,6.15,190,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13143041_XL1_20220721.jpg?w=320&q=60,Mixed Vegetables from Frozen.
Vanilla Ice Cream,Frozen,23.45,25.15,175,https://media.nedigital.sg/fairprice/90229425_XL1_20260627111608_d4969b9e7e0f74ddeebedf9d5760b0cc.jpg?w=320&q=60,Vanilla Ice Cream from Frozen.
Chicken Nuggets,Frozen,10.3,12.15,160,https://media.nedigital.sg/fairprice/90250088_XL1_20260709221627_b4a6e9e4396a2688c715753f3c81a207.jpg?w=320&q=60,Chicken Nuggets from Frozen.
Fish Fingers,Frozen,23.15,23.15,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13255525_XL1_20260512.jpg?w=320&q=60,Fish Fingers from Frozen.
Frozen Blueberries,Frozen,26.0,26.0,130,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13177827_XL1_20260709.jpg?w=320&q=60,Frozen Blueberries from Frozen.
Bananas,Fruits & Vegetables,2.8,3.3,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13102643_XL1_20221122.jpg?w=320&q=60,Bananas from Fruits & Vegetables.
Apples,Fruits & Vegetables,5.65,6.31,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13228441_XL1_20260717.jpg?w=320&q=60,Apples from Fruits & Vegetables.
Broccoli,Fruits & Vegetables,6.5,7.31,190,https://media.nedigital.sg/fairprice/90089347_XL1_20260716185731_9770188d2ef8020e08eeae7782b83e54.jpg?w=320&q=60,Broccoli from Fruits & Vegetables.
Carrots,Fruits & Vegetables,5.35,6.31,175,https://media.nedigital.sg/fairprice/90112105_XL1_20260717164611_374d5025a8568dcc403e6ca62dae89ac.jpg?w=320&q=60,Carrots from Fruits & Vegetables.
Spinach,Fruits & Vegetables,6.2,7.32,160,https://media.nedigital.sg/fairprice/90149453_XL1_20260717144524_de6a21a87bc80945fe88c9dee41f4c78.jpg?w=320&q=60,Spinach from Fruits & Vegetables.
Cherry Tomatoes,Fruits & Vegetables,7.05,8.32,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13263902_XL1_20250808.jpg?w=320&q=60,Cherry Tomatoes from Fruits & Vegetables.
Seedless Grapes,Fruits & Vegetables,7.9,9.32,130,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13184458_XL1_20260710.jpg?w=320&q=60,Seedless Grapes from Fruits & Vegetables.
Vitamin C,Health & Wellness,11.9,18.6,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13114768_XL1_20211028.jpg?w=320&q=60,Vitamin C from Health & Wellness.
Multivitamins,Health & Wellness,33.2,33.2,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11341484_XL1.jpg?w=320&q=60,Multivitamins from Health & Wellness.
Fish Oil Capsules,Health & Wellness,88.2,98,190,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13113228_XL1_20250121.jpg?w=320&q=60,Fish Oil Capsules from Health & Wellness.
Protein Bar,Health & Wellness,8.9,8.9,175,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13096526_XL1_20250529.jpg?w=320&q=60,Protein Bar from Health & Wellness.
Electrolyte Drink,Health & Wellness,27.12,33.9,160,https://media.nedigital.sg/fairprice/90059332_XL1_20260717112217_41c79893dfe4b1877df513a3a6e01ec1.jpg?w=320&q=60,Electrolyte Drink from Health & Wellness.
Hand Sanitizer,Health & Wellness,12.81,12.81,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12110581_XL1_20220620.jpg?w=320&q=60,Hand Sanitizer from Health & Wellness.
First Aid Plasters,Health & Wellness,6.6,6.6,130,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11982310_XL1_20220121.jpg?w=320&q=60,First Aid Plasters from Health & Wellness.
Laundry Detergent,Household,11.5,13.1,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13239702_XL1_20260716.jpg?w=320&q=60,Laundry Detergent from Household.
Dishwashing Liquid,Household,6.05,5.68,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13004655_XL1_20260109.jpg?w=320&q=60,Dishwashing Liquid from Household.
Floor Cleaner,Household,6.4,7.07,190,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13238035_XL1_20250925.jpg?w=320&q=60,Floor Cleaner from Household.
Kitchen Towels,Household,6.75,6.75,175,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13056515_XL1_20250801.jpg?w=320&q=60,Kitchen Towels from Household.
Trash Bags,Household,1.6,2.1,160,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10014270_XL1_20240502.jpg?w=320&q=60,Trash Bags from Household.
Air Freshener,Household,4.45,4.69,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13074935_XL1_20240912.jpg?w=320&q=60,Air Freshener from Household.
Toilet Cleaner,Household,5.3,5.95,130,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13291322_XL1_20260626.jpg?w=320&q=60,Toilet Cleaner from Household.
Chicken Breast,Meat & Seafood,9.6,11.33,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13282982_XL1_20260623.jpg?w=320&q=60,Chicken Breast from Meat & Seafood.
Salmon Fillet,Meat & Seafood,10.45,12.33,205,https://media.nedigital.sg/fairprice/90080854_XL1_20260712134733_532398245121d4e96c6f6f1157bcc8fd.jpg?w=320&q=60,Salmon Fillet from Meat & Seafood.
Prawn Peeled,Meat & Seafood,11.3,13.33,190,https://media.nedigital.sg/fairprice/90229466_XL1_20260717164112_9577678f0b4a85320311d84c30bd98dc.jpg?w=320&q=60,Prawn Peeled from Meat & Seafood.
Beef Mince,Meat & Seafood,12.15,14.34,175,https://media.nedigital.sg/fairprice/90114479_XL1_20260715225214_a0296916041df77194e0bba752e93cd0.jpg?w=320&q=60,Beef Mince from Meat & Seafood.
Pork Loin,Meat & Seafood,13.0,15.34,160,https://media.nedigital.sg/fairprice/90222788_XL1_20260717144615_d6ee1930977aa3f6a280acbb0632efd9.jpg?w=320&q=60,Pork Loin from Meat & Seafood.
Dory Fillet,Meat & Seafood,7.85,9.34,145,https://media.nedigital.sg/fairprice/90208051_XL1_20260717123818_fa4ef8995d4a426ae16b230e49ac7236.jpg?w=320&q=60,Dory Fillet from Meat & Seafood.
Chicken Drumsticks,Meat & Seafood,14.7,17.35,130,https://media.nedigital.sg/fairprice/90206855_XL1_20260717134140_2e74110461497a1f8d7ccdfce019ea8b.jpg?w=320&q=60,Chicken Drumsticks from Meat & Seafood.
Jasmine Rice 5kg,"Rice, Noodles & Cooking Ingredients",55.3,16.25,220,https://media.nedigital.sg/fairprice/90041269_XL1_20260714180232_9c6a38ed139af1f22284ac61fbce9988.jpg?w=320&q=60,"Jasmine Rice 5kg from Rice, Noodles & Cooking Ingredients."
Instant Noodles,"Rice, Noodles & Cooking Ingredients",6.15,7.26,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11130548_XL1_20260716.jpg?w=320&q=60,"Instant Noodles from Rice, Noodles & Cooking Ingredients."
Spaghetti,"Rice, Noodles & Cooking Ingredients",7.0,8.26,190,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12321928_XL1_20250801.jpg?w=320&q=60,"Spaghetti from Rice, Noodles & Cooking Ingredients."
Udon Noodles,"Rice, Noodles & Cooking Ingredients",7.85,9.26,175,https://media.nedigital.sg/fairprice/90051230_XL1_20260713140918_86c27fa206be9871bb272ed5f868b0e2.jpg?w=320&q=60,"Udon Noodles from Rice, Noodles & Cooking Ingredients."
Soy Sauce,"Rice, Noodles & Cooking Ingredients",8.7,10.27,160,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10766560_XL1_20260401.jpg?w=320&q=60,"Soy Sauce from Rice, Noodles & Cooking Ingredients."
Sesame Oil,"Rice, Noodles & Cooking Ingredients",9.55,11.27,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/52663_XL1_20231009.jpg?w=320&q=60,"Sesame Oil from Rice, Noodles & Cooking Ingredients."
Corn Starch,"Rice, Noodles & Cooking Ingredients",2.4,2.5,130,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/105850_XL1_20220126.jpg?w=320&q=60,"Corn Starch from Rice, Noodles & Cooking Ingredients."
Potato Chips,Snacks & Confectionery,3,4,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13225870_XL1_20260717.jpg?w=320&q=60,Potato Chips from Snacks & Confectionery.
Chocolate Bar,Snacks & Confectionery,12.25,14.01,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13026077_XL1_20250213.jpg?w=320&q=60,Chocolate Bar from Snacks & Confectionery.
Gummy Candy,Snacks & Confectionery,5.1,6.02,190,https://media.nedigital.sg/fairprice/90253253_XL1_20260715220617_6625254b587e21d582b0d73546d77a76.jpg?w=320&q=60,Gummy Candy from Snacks & Confectionery.
Crackers,Snacks & Confectionery,5.95,7.02,175,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12465809_XL1_20250911.jpg?w=320&q=60,Crackers from Snacks & Confectionery.
Mixed Nuts,Snacks & Confectionery,6.8,8.02,160,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11961907_XL1_20241130.jpg?w=320&q=60,Mixed Nuts from Snacks & Confectionery.
Popcorn Butter,Snacks & Confectionery,7.65,9.03,145,https://media.nedigital.sg/fairprice/90042788_XL1_20260713213835_cd8f8eaf471563f9828c077709e49057.jpg?w=320&q=60,Popcorn Butter from Snacks & Confectionery.
Wafer Rolls,Snacks & Confectionery,8.5,10.03,130,https://media.nedigital.sg/fairprice/90142578_XL1_20260514105733_5fda46acd77ac805522296a0ab72f9c9.jpg?w=320&q=60,Wafer Rolls from Snacks & Confectionery.
Storage Box,Lifestyle,3.02,3.02,220,https://media.nedigital.sg/fairprice/90056962_XL1_20260525093822_fc4f02509463bc813790638688d25aee.jpg?w=320&q=60,Storage Box from Lifestyle.
Reusable Shopping Bag,Lifestyle,5.9,5.9,205,https://media.nedigital.sg/fairprice/90173842_XL1_20260701001053_19b98cc4709ce38c344e03309b2ab638.jpg?w=320&q=60,Reusable Shopping Bag from Lifestyle.
Water Bottle,Lifestyle,8.8,8.8,190,https://media.nedigital.sg/fairprice/90179252_XL1_20260716144801_879097c98382115487a86b1a6afe335b.jpg?w=320&q=60,Water Bottle from Lifestyle.
Lunch Box,Lifestyle,29.65,29.65,175,https://media.nedigital.sg/fairprice/90137943_XL1_20260706210340_808ee44d27131d258483749e6b85139e.jpg?w=320&q=60,Lunch Box from Lifestyle.
Travel Mug,Lifestyle,39,39,160,https://media.nedigital.sg/fairprice/90192575_XL1_20260110104829_c4daa3985c91531b46e409360822ce91.jpg?w=320&q=60,Travel Mug from Lifestyle.
Room Slippers,Lifestyle,2.9,4.9,145,https://media.nedigital.sg/fairprice/90180061_XL1_20260703220026_7c43e6a2f107d4c71a8119cbcfaa4fa8.jpg?w=320&q=60,Room Slippers from Lifestyle.
Stationery Set,Lifestyle,25.7,25.7,130,https://media.nedigital.sg/fairprice/90018256_XL1_20260623083545_8baec5271d5c5c169f683059e7bc6f04.jpg?w=320&q=60,Stationery Set from Lifestyle.
